Sl. No,Change ID,Event Number,Timestamp,Impacted CIs,Description of change,Planned duration (Min),Change Category,Change Type,CI Category,CI Subcategory,CI Classification,Approval required,Is Approved,Is downtime required,Is restart required,Actual Duration,Change Status,Remarks
266,CH0001066,,2024-03-01 12:40:15,Direct Connect,Access permissions,69,Normal,Medium,Systems,Server,Direct Connect,Yes,4 out of 5,No,No,76,implemented and closed,Change is succesfully implemented and closed
267,CH0001067,,2024-03-17 02:23:43,"Web Application 01, Web Application 02",Add New requirements / Features,98,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,100,implemented and closed,Change is succesfully implemented and closed
268,CH0001068,,2024-08-12 16:14:53,"Direct Connect, Web Application Firewall",Configuration changes,87,Normal,Medium,Systems,Server,Web Application Firewall,Yes,5 out of 5,No,No,97,implemented and closed,Change is succesfully implemented and closed
269,CH0001069,,2024-07-18 01:51:36,"Database Server 01, Middleware Application 01, Middleware Application 02, VPN Nat Gateway, Web Application 02",Add New requirements / Features,140,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,139,implemented and closed,Change is succesfully implemented and closed
270,CH0001070,,2024-06-28 19:32:51,"Direct Connect, Web Application Firewall",Configuration changes,67,Normal,Medium,Systems,Server,Web Application Firewall,Yes,4 out of 5,No,No,59,Rolled back,post implementation checks failed
271,CH0001071,,2024-08-29 18:15:45,Web Application 02,Access permissions,61,Normal,Medium,Systems,Server,Web Application 02,Yes,4 out of 5,No,No,59,implemented and closed,Change is succesfully implemented and closed
272,CH0001072,,2024-11-01 20:55:06,Route 53,Access permissions,74,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,65,implemented and closed,Change is succesfully implemented and closed
273,CH0001073,,2024-12-21 20:49:15,IDEAWORKS application,Configuration changes,62,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,4 out of 5,No,No,69,Rolled back,post implementation checks failed
274,CH0001074,,2025-01-29 16:04:55,Application Load Balancer,Add New requirements / Features,63,Normal,Major,Systems,Server,Application Load Balancer,Yes,4 out of 5,Yes,Yes,55,implemented and closed,Change is succesfully implemented and closed
275,CH0001075,,2024-10-27 17:03:55,IDEAWORKS application,App upgradation,92,Normal,Major,Systems,Server,IDEAWORKS application,Yes,3 out of 5,Yes,Yes,86,implemented and closed,Change is succesfully implemented and closed
276,CH0001076,,2024-11-19 20:41:42,Database Server 01,App upgradation,107,Normal,Major,Systems,Server,Database Server 01,Yes,5 out of 5,Yes,Yes,106,implemented and closed,Change is succesfully implemented and closed
277,CH0001077,,2024-07-26 06:04:41,IAM Role,Version upgrade,41,Normal,Major,Systems,Server,IAM Role,Yes,4 out of 5,Yes,Yes,39,implemented and closed,Change is succesfully implemented and closed
278,CH0001078,,2024-09-03 16:12:06,Cloudwatch,Configuration changes,42,Normal,Medium,Systems,Server,Cloudwatch,Yes,4 out of 5,No,No,41,implemented and closed,Change is succesfully implemented and closed
279,CH0001079,,2024-02-05 00:12:46,IAM Role,Add New requirements / Features,69,Normal,Major,Systems,Server,IAM Role,Yes,5 out of 5,Yes,Yes,79,implemented and closed,Change is succesfully implemented and closed
280,CH0001080,,2024-10-25 13:44:49,Role,Configuration changes,31,Normal,Medium,Systems,Server,Role,Yes,5 out of 5,No,No,21,implemented and closed,Change is succesfully implemented and closed
281,CH0001081,,2024-05-30 18:41:57,VPN Nat Gateway,Access permissions,39,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,48,Rolled back,post implementation checks failed
282,CH0001082,,2025-01-27 19:59:01,Database Server 01,App upgradation,110,Normal,Major,Systems,Server,Database Server 01,Yes,5 out of 5,Yes,Yes,114,implemented and closed,Change is succesfully implemented and closed
283,CH0001083,,2025-01-17 14:43:30,Middleware Application 01,App upgradation,100,Normal,Major,Systems,Server,Middleware Application 01,Yes,4 out of 5,Yes,Yes,107,implemented and closed,Change is succesfully implemented and closed
284,CH0001084,,2024-03-18 14:35:30,"Middleware Application 01, Middleware Application 02, Web Application 01, Web Application 02",Add New requirements / Features,130,Normal,Major,Systems,Server,Middleware Application 02,Yes,3 out of 5,Yes,Yes,128,implemented and closed,Change is succesfully implemented and closed
285,CH0001085,,2024-02-28 05:57:12,Endpoints,Version upgrade,45,Normal,Major,Systems,Server,Endpoints,Yes,5 out of 5,Yes,Yes,41,implemented and closed,Change is succesfully implemented and closed
286,CH0001086,,2024-11-02 07:44:54,"Middleware Application 01, Web Application 01",Access permissions,68,Normal,Medium,Systems,Server,Middleware Application 01,Yes,5 out of 5,No,No,63,implemented and closed,Change is succesfully implemented and closed
287,CH0001087,,2024-04-17 04:21:22,IAM Role,Version upgrade,32,Normal,Major,Systems,Server,IAM Role,Yes,5 out of 5,Yes,Yes,26,implemented and closed,Change is succesfully implemented and closed
288,CH0001088,,2024-10-19 05:56:27,IAM Role,Access permissions,33,Normal,Medium,Systems,Server,IAM Role,Yes,5 out of 5,No,No,37,implemented and closed,Change is succesfully implemented and closed
289,CH0001089,,2024-02-27 15:23:28,"Database Server 01, IDEAWORKS application, Web Application 02",Add New requirements / Features,91,Normal,Major,Systems,Server,IDEAWORKS application,Yes,4 out of 5,Yes,Yes,98,implemented and closed,Change is succesfully implemented and closed
290,CH0001090,,2024-07-10 20:15:18,"VPN Gateway, Web Application Firewall",Access permissions,70,Normal,Medium,Systems,Server,VPN Gateway,Yes,5 out of 5,No,No,61,Rolled back,post implementation checks failed
291,CH0001091,,2024-05-02 19:12:03,Web Application Firewall,Version upgrade,34,Normal,Major,Systems,Server,Web Application Firewall,Yes,3 out of 5,Yes,Yes,39,implemented and closed,Change is succesfully implemented and closed
292,CH0001092,,2024-09-22 05:19:40,Internet Gateway,Access permissions,72,Normal,Medium,Systems,Server,Internet Gateway,Yes,3 out of 5,No,No,65,implemented and closed,Change is succesfully implemented and closed
293,CH0001093,,2024-11-12 03:37:52,Internet Gateway,Access permissions,74,Normal,Medium,Systems,Server,Internet Gateway,Yes,1 out of 5,No,No,76,failed / Cancelled,"on time preps are incomplete, no approvals"
294,CH0001094,,2024-07-25 20:49:24,S3 Bucket,Version upgrade,36,Normal,Major,Systems,Server,S3 Bucket,Yes,4 out of 5,Yes,Yes,30,Rolled back,post implementation checks failed
295,CH0001095,,2024-12-08 03:47:30,S3 Bucket,Configuration changes,36,Normal,Medium,Systems,Server,S3 Bucket,Yes,3 out of 5,No,No,27,implemented and closed,Change is succesfully implemented and closed
296,CH0001096,,2025-01-20 20:06:37,"VPN Gateway, Web Application Firewall",Configuration changes,33,Normal,Medium,Systems,Server,VPN Gateway,Yes,3 out of 5,No,No,27,implemented and closed,Change is succesfully implemented and closed
297,CH0001097,,2024-10-29 13:58:34,Active Directory services,Version upgrade,43,Normal,Major,Systems,Server,Active Directory services,Yes,5 out of 5,Yes,Yes,40,implemented and closed,Change is succesfully implemented and closed
298,CH0001098,,2024-07-23 06:29:54,Route 53,Add New requirements / Features,67,Normal,Major,Systems,Server,Route 53,Yes,4 out of 5,Yes,Yes,60,Rolled back,post implementation checks failed
299,CH0001099,,2024-12-23 13:24:45,IAM Role,Configuration changes,40,Normal,Medium,Systems,Server,IAM Role,Yes,5 out of 5,No,No,48,implemented and closed,Change is succesfully implemented and closed
300,CH0001100,,2024-05-26 16:07:55,Route 53,Configuration changes,39,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,43,implemented and closed,Change is succesfully implemented and closed
301,CH0001101,,2024-12-30 06:56:38,Web Application Firewall,Add New requirements / Features,65,Normal,Major,Systems,Server,Web Application Firewall,Yes,5 out of 5,Yes,Yes,69,implemented and closed,Change is succesfully implemented and closed
302,CH0001102,,2024-08-07 03:30:23,Web Application 02,Add New requirements / Features,104,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,95,implemented and closed,Change is succesfully implemented and closed
303,CH0001103,,2024-04-09 15:50:56,IAM Role,Add New requirements / Features,68,Normal,Major,Systems,Server,IAM Role,Yes,5 out of 5,Yes,Yes,71,implemented and closed,Change is succesfully implemented and closed
304,CH0001104,,2024-07-08 21:28:28,Role,Configuration changes,34,Normal,Medium,Systems,Server,Role,Yes,3 out of 5,No,No,34,implemented and closed,Change is succesfully implemented and closed
305,CH0001105,,2024-11-12 11:38:11,IDEAWORKS application,Configuration changes,68,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,3 out of 5,No,No,63,implemented and closed,Change is succesfully implemented and closed
306,CH0001106,,2024-12-26 10:51:28,S3 Bucket,Configuration changes,37,Normal,Medium,Systems,Server,S3 Bucket,Yes,3 out of 5,No,No,44,implemented and closed,Change is succesfully implemented and closed
307,CH0001107,,2025-01-09 15:52:50,Bastion Host,OS upgrade,90,Normal,Major,Systems,Server,Bastion Host,Yes,3 out of 5,Yes,Yes,99,implemented and closed,Change is succesfully implemented and closed
308,CH0001108,,2024-11-28 13:50:19,"Database Server 01, Middleware Application 01, Middleware Application 02, VPN Nat Gateway, Web Application 01, Web Application 02",Access permissions,105,Normal,Medium,Systems,Server,Database Server 01,Yes,3 out of 5,No,No,100,implemented and closed,Change is succesfully implemented and closed
309,CH0001109,,2024-11-30 04:14:06,Middleware Application 01,App upgradation,120,Normal,Major,Systems,Server,Middleware Application 01,Yes,1 out of 5,Yes,Yes,114,failed / Cancelled,"on time preps are incomplete, no approvals"
310,CH0001110,,2024-04-17 07:02:44,Web Application Firewall,Version upgrade,40,Normal,Major,Systems,Server,Web Application Firewall,Yes,4 out of 5,Yes,Yes,35,implemented and closed,Change is succesfully implemented and closed
311,CH0001111,,2024-12-28 13:48:11,Role,Add New requirements / Features,67,Normal,Major,Systems,Server,Role,Yes,3 out of 5,Yes,Yes,70,implemented and closed,Change is succesfully implemented and closed
312,CH0001112,,2024-06-12 01:00:47,Role,Add New requirements / Features,63,Normal,Major,Systems,Server,Role,Yes,3 out of 5,Yes,Yes,59,implemented and closed,Change is succesfully implemented and closed
313,CH0001113,,2024-10-23 10:12:59,Web Application Firewall,Add New requirements / Features,65,Normal,Major,Systems,Server,Web Application Firewall,Yes,4 out of 5,Yes,Yes,56,implemented and closed,Change is succesfully implemented and closed
314,CH0001114,,2024-11-24 07:15:05,Active Directory services,Configuration changes,31,Normal,Medium,Systems,Server,Active Directory services,Yes,3 out of 5,No,No,22,implemented and closed,Change is succesfully implemented and closed
315,CH0001115,,2024-03-17 22:50:35,IDEAWORKS application,App upgradation,90,Normal,Major,Systems,Server,IDEAWORKS application,Yes,4 out of 5,Yes,Yes,84,implemented and closed,Change is succesfully implemented and closed
316,CH0001116,,2024-08-10 15:29:49,"Database Server 01, Middleware Application 01, Web Application 01",Configuration changes,60,Normal,Medium,Systems,Server,Middleware Application 01,Yes,5 out of 5,No,No,62,implemented and closed,Change is succesfully implemented and closed
317,CH0001117,,2024-03-21 12:29:27,S3 Bucket,Configuration changes,42,Normal,Medium,Systems,Server,S3 Bucket,Yes,1 out of 5,No,No,37,failed / Cancelled,"on time preps are incomplete, no approvals"
318,CH0001118,,2024-11-04 10:32:38,Internet Gateway,Configuration changes,61,Normal,Medium,Systems,Server,Internet Gateway,Yes,5 out of 5,No,No,56,implemented and closed,Change is succesfully implemented and closed
319,CH0001119,,2024-04-19 00:09:03,Internet Gateway,Add New requirements / Features,69,Normal,Major,Systems,Server,Internet Gateway,Yes,5 out of 5,Yes,Yes,75,implemented and closed,Change is succesfully implemented and closed
320,CH0001120,,2024-02-07 09:52:53,"Application Load Balancer, Direct Connect",Add New requirements / Features,63,Normal,Major,Systems,Server,Application Load Balancer,Yes,4 out of 5,Yes,Yes,62,implemented and closed,Change is succesfully implemented and closed
321,CH0001121,,2024-09-13 23:32:26,Middleware Application 02,OS upgrade,102,Normal,Major,Systems,Server,Middleware Application 02,Yes,5 out of 5,Yes,Yes,112,implemented and closed,Change is succesfully implemented and closed
322,CH0001122,,2024-04-04 17:48:33,"Middleware Application 01, Web Application 01",Add New requirements / Features,117,Normal,Major,Systems,Server,Web Application 01,Yes,5 out of 5,Yes,Yes,122,implemented and closed,Change is succesfully implemented and closed
323,CH0001123,,2024-08-30 09:32:57,Endpoints,Add New requirements / Features,72,Normal,Major,Systems,Server,Endpoints,Yes,5 out of 5,Yes,Yes,68,implemented and closed,Change is succesfully implemented and closed
324,CH0001124,,2024-06-26 13:38:01,Database Server 01,Configuration changes,81,Normal,Medium,Systems,Server,Database Server 01,Yes,5 out of 5,No,No,87,implemented and closed,Change is succesfully implemented and closed
325,CH0001125,,2024-08-14 21:38:14,Database Server 01,Add New requirements / Features,116,Normal,Major,Systems,Server,Database Server 01,Yes,5 out of 5,Yes,Yes,115,Rolled back,post implementation checks failed
326,CH0001126,,2024-03-15 03:05:50,Web Application Firewall,Version upgrade,43,Normal,Major,Systems,Server,Web Application Firewall,Yes,3 out of 5,Yes,Yes,41,implemented and closed,Change is succesfully implemented and closed
327,CH0001127,,2024-02-10 10:43:37,Middleware Application 02,Add New requirements / Features,113,Normal,Major,Systems,Server,Middleware Application 02,Yes,5 out of 5,Yes,Yes,120,implemented and closed,Change is succesfully implemented and closed
328,CH0001128,,2024-05-05 08:34:37,VPN Nat Gateway,Access permissions,36,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
329,CH0001129,,2024-04-01 18:01:38,Web Application 02,Add New requirements / Features,92,Normal,Major,Systems,Server,Web Application 02,Yes,4 out of 5,Yes,Yes,91,implemented and closed,Change is succesfully implemented and closed
330,CH0001130,,2024-07-28 04:45:10,"Bastion Host, Direct Connect, Web Application Firewall",Configuration changes,72,Normal,Medium,Systems,Server,Bastion Host,Yes,5 out of 5,No,No,81,implemented and closed,Change is succesfully implemented and closed
331,CH0001131,,2024-07-15 13:27:54,"Database Server 01, Middleware Application 01, Middleware Application 02, VPN Nat Gateway",Configuration changes,94,Normal,Medium,Systems,Server,Database Server 01,Yes,5 out of 5,No,No,88,Rolled back,post implementation checks failed
332,CH0001132,,2024-08-02 16:30:47,"Bastion Host, Direct Connect, Web Application Firewall",Add New requirements / Features,115,Normal,Major,Systems,Server,Bastion Host,Yes,5 out of 5,Yes,Yes,112,implemented and closed,Change is succesfully implemented and closed
333,CH0001133,,2024-09-22 09:25:39,Route 53,Add New requirements / Features,66,Normal,Major,Systems,Server,Route 53,Yes,5 out of 5,Yes,Yes,73,Rolled back,post implementation checks failed
334,CH0001134,,2025-01-02 16:37:58,Web Application 01,Access permissions,67,Normal,Medium,Systems,Server,Web Application 01,Yes,2 out of 5,No,No,69,failed / Cancelled,"on time preps are incomplete, no approvals"
335,CH0001135,,2024-11-02 05:02:11,Web Application 02,Access permissions,71,Normal,Medium,Systems,Server,Web Application 02,Yes,4 out of 5,No,No,65,implemented and closed,Change is succesfully implemented and closed
336,CH0001136,,2024-04-25 19:17:06,Endpoints,Configuration changes,30,Normal,Medium,Systems,Server,Endpoints,Yes,5 out of 5,No,No,33,implemented and closed,Change is succesfully implemented and closed
337,CH0001137,,2025-01-13 03:05:57,Endpoints,Configuration changes,45,Normal,Medium,Systems,Server,Endpoints,Yes,3 out of 5,No,No,37,implemented and closed,Change is succesfully implemented and closed
338,CH0001138,,2024-09-14 10:47:24,Cloud HSM,Configuration changes,39,Normal,Medium,Systems,Server,Cloud HSM,Yes,4 out of 5,No,No,35,implemented and closed,Change is succesfully implemented and closed
339,CH0001139,,2024-08-13 13:23:45,"Database Server 01, Database Server 02, IDEAWORKS application, Middleware Application 02, VPN Nat Gateway, Web Application 01, Web Application 02",Configuration changes,125,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,3 out of 5,No,No,123,implemented and closed,Change is succesfully implemented and closed
340,CH0001140,,2024-02-05 22:43:30,Database Server 01,App upgradation,119,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,116,implemented and closed,Change is succesfully implemented and closed
341,CH0001141,,2024-10-26 00:39:24,"Bastion Host, Route 53",Configuration changes,30,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,22,implemented and closed,Change is succesfully implemented and closed
342,CH0001142,,2024-09-25 07:26:05,Endpoints,Configuration changes,38,Normal,Medium,Systems,Server,Endpoints,Yes,4 out of 5,No,No,28,implemented and closed,Change is succesfully implemented and closed
343,CH0001143,,2024-09-29 00:05:08,Route 53,Version upgrade,42,Normal,Major,Systems,Server,Route 53,Yes,5 out of 5,Yes,Yes,35,Rolled back,post implementation checks failed
344,CH0001144,,2024-05-10 03:13:59,S3 Bucket,Version upgrade,30,Normal,Major,Systems,Server,S3 Bucket,Yes,3 out of 5,Yes,Yes,29,implemented and closed,Change is succesfully implemented and closed
345,CH0001145,,2024-02-16 11:54:17,IAM Role,Add New requirements / Features,66,Normal,Major,Systems,Server,IAM Role,Yes,3 out of 5,Yes,Yes,74,implemented and closed,Change is succesfully implemented and closed
346,CH0001146,,2024-06-06 22:26:09,Cloud HSM,Version upgrade,31,Normal,Major,Systems,Server,Cloud HSM,Yes,3 out of 5,Yes,Yes,30,implemented and closed,Change is succesfully implemented and closed
347,CH0001147,,2024-11-06 23:27:15,VPN Gateway,Configuration changes,44,Normal,Medium,Systems,Server,VPN Gateway,Yes,1 out of 5,No,No,45,failed / Cancelled,"on time preps are incomplete, no approvals"
348,CH0001148,,2024-05-29 14:16:58,Route 53,Configuration changes,35,Normal,Medium,Systems,Server,Route 53,Yes,4 out of 5,No,No,35,implemented and closed,Change is succesfully implemented and closed
349,CH0001149,,2024-08-22 17:08:23,Active Directory services,Add New requirements / Features,69,Normal,Major,Systems,Server,Active Directory services,Yes,0 out of 5,Yes,Yes,67,failed / Cancelled,"on time preps are incomplete, no approvals"
350,CH0001150,,2024-02-12 08:50:09,Internet Gateway,Access permissions,60,Normal,Medium,Systems,Server,Internet Gateway,Yes,4 out of 5,No,No,65,implemented and closed,Change is succesfully implemented and closed
351,CH0001151,,2024-05-21 18:58:52,Middleware Application 01,Add New requirements / Features,108,Normal,Major,Systems,Server,Middleware Application 01,Yes,5 out of 5,Yes,Yes,103,implemented and closed,Change is succesfully implemented and closed
352,CH0001152,,2024-03-09 15:27:23,Cloudwatch,Version upgrade,36,Normal,Major,Systems,Server,Cloudwatch,Yes,4 out of 5,Yes,Yes,26,implemented and closed,Change is succesfully implemented and closed
353,CH0001153,,2024-02-23 20:46:52,Cloudwatch,Configuration changes,38,Normal,Medium,Systems,Server,Cloudwatch,Yes,3 out of 5,No,No,40,implemented and closed,Change is succesfully implemented and closed
354,CH0001154,,2025-01-06 04:14:24,Internet Gateway,Add New requirements / Features,60,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,62,implemented and closed,Change is succesfully implemented and closed
355,CH0001155,,2024-09-23 11:33:55,Database Server 02,App upgradation,109,Normal,Major,Systems,Server,Database Server 02,Yes,3 out of 5,Yes,Yes,117,implemented and closed,Change is succesfully implemented and closed
356,CH0001156,,2024-12-05 10:01:08,Middleware Application 01,OS upgrade,93,Normal,Major,Systems,Server,Middleware Application 01,Yes,5 out of 5,Yes,Yes,93,implemented and closed,Change is succesfully implemented and closed
357,CH0001157,,2024-02-11 14:09:26,Endpoints,Configuration changes,42,Normal,Medium,Systems,Server,Endpoints,Yes,4 out of 5,No,No,44,Rolled back,post implementation checks failed
358,CH0001158,,2024-10-01 05:35:49,Internet Gateway,Configuration changes,74,Normal,Medium,Systems,Server,Internet Gateway,Yes,3 out of 5,No,No,74,Rolled back,post implementation checks failed
359,CH0001159,,2024-05-15 11:34:38,Internet Gateway,Version upgrade,33,Normal,Major,Systems,Server,Internet Gateway,Yes,3 out of 5,Yes,Yes,33,implemented and closed,Change is succesfully implemented and closed
360,CH0001160,,2025-01-16 09:55:45,Active Directory services,Version upgrade,42,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,45,Rolled back,post implementation checks failed
361,CH0001161,,2024-08-14 22:42:45,Route 53,Version upgrade,45,Normal,Major,Systems,Server,Route 53,Yes,1 out of 5,Yes,Yes,54,failed / Cancelled,"on time preps are incomplete, no approvals"
362,CH0001162,,2024-12-05 09:22:52,VPN Nat Gateway,Configuration changes,45,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,No,No,39,Rolled back,post implementation checks failed
363,CH0001163,,2024-05-02 20:53:46,Cloudwatch,Configuration changes,35,Normal,Medium,Systems,Server,Cloudwatch,Yes,3 out of 5,No,No,37,Rolled back,post implementation checks failed
364,CH0001164,,2024-12-23 12:39:23,Web Application 02,App upgradation,107,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,102,implemented and closed,Change is succesfully implemented and closed
365,CH0001165,,2024-03-19 13:05:48,IDEAWORKS application,Add New requirements / Features,104,Normal,Major,Systems,Server,IDEAWORKS application,Yes,3 out of 5,Yes,Yes,105,implemented and closed,Change is succesfully implemented and closed
366,CH0001166,,2024-08-31 01:13:43,Web Application 01,OS upgrade,113,Normal,Major,Systems,Server,Web Application 01,Yes,5 out of 5,Yes,Yes,122,implemented and closed,Change is succesfully implemented and closed
367,CH0001167,,2024-08-02 00:23:00,Web Application Firewall,Configuration changes,90,Normal,Medium,Systems,Server,Web Application Firewall,Yes,4 out of 5,No,No,99,implemented and closed,Change is succesfully implemented and closed
368,CH0001168,,2024-02-10 16:41:40,VPN Nat Gateway,Add New requirements / Features,63,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,Yes,Yes,59,implemented and closed,Change is succesfully implemented and closed
369,CH0001169,,2024-04-21 18:17:55,"Bastion Host, Direct Connect, Web Application Firewall",Access permissions,75,Normal,Medium,Systems,Server,Bastion Host,Yes,5 out of 5,No,No,80,implemented and closed,Change is succesfully implemented and closed
370,CH0001170,,2024-02-24 19:02:03,Database Server 02,Add New requirements / Features,103,Normal,Major,Systems,Server,Database Server 02,Yes,5 out of 5,Yes,Yes,104,Rolled back,post implementation checks failed
371,CH0001171,,2024-11-15 01:02:07,IAM Role,Version upgrade,38,Normal,Major,Systems,Server,IAM Role,Yes,5 out of 5,Yes,Yes,46,Rolled back,post implementation checks failed
372,CH0001172,,2024-12-19 10:18:29,Role,Configuration changes,32,Normal,Medium,Systems,Server,Role,Yes,3 out of 5,No,No,32,Rolled back,post implementation checks failed
373,CH0001173,,2024-10-10 06:15:16,Database Server 02,OS upgrade,105,Normal,Major,Systems,Server,Database Server 02,Yes,5 out of 5,Yes,Yes,98,implemented and closed,Change is succesfully implemented and closed
374,CH0001174,,2024-03-18 13:46:30,"VPN Gateway, Web Application Firewall",Add New requirements / Features,70,Normal,Major,Systems,Server,VPN Gateway,Yes,3 out of 5,Yes,Yes,77,Rolled back,post implementation checks failed
375,CH0001175,,2024-08-12 10:50:11,Cloud HSM,Configuration changes,34,Normal,Medium,Systems,Server,Cloud HSM,Yes,5 out of 5,No,No,26,implemented and closed,Change is succesfully implemented and closed
376,CH0001176,,2024-02-02 14:36:09,Web Application 02,OS upgrade,102,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,94,Rolled back,post implementation checks failed
377,CH0001177,,2025-01-17 19:43:13,VPN Nat Gateway,Version upgrade,36,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,4 out of 5,Yes,Yes,45,implemented and closed,Change is succesfully implemented and closed
378,CH0001178,,2024-05-06 07:40:07,Cloud HSM,Add New requirements / Features,64,Normal,Major,Systems,Server,Cloud HSM,Yes,3 out of 5,Yes,Yes,66,implemented and closed,Change is succesfully implemented and closed
379,CH0001179,,2024-05-02 08:10:31,"Application Load Balancer, Bastion Host, Direct Connect, Web Application Firewall",Configuration changes,84,Normal,Medium,Systems,Server,Application Load Balancer,Yes,5 out of 5,No,No,87,implemented and closed,Change is succesfully implemented and closed
380,CH0001180,,2024-06-30 05:38:35,Cloudwatch,Add New requirements / Features,63,Normal,Major,Systems,Server,Cloudwatch,Yes,3 out of 5,Yes,Yes,64,implemented and closed,Change is succesfully implemented and closed
381,CH0001181,,2024-02-09 09:49:30,Web Application 02,OS upgrade,91,Normal,Major,Systems,Server,Web Application 02,Yes,3 out of 5,Yes,Yes,98,implemented and closed,Change is succesfully implemented and closed
382,CH0001182,,2024-08-10 07:58:27,Cloudwatch,Add New requirements / Features,66,Normal,Major,Systems,Server,Cloudwatch,Yes,4 out of 5,Yes,Yes,60,implemented and closed,Change is succesfully implemented and closed
383,CH0001183,,2024-04-09 16:49:49,Web Application Firewall,Configuration changes,82,Normal,Medium,Systems,Server,Web Application Firewall,Yes,4 out of 5,No,No,89,implemented and closed,Change is succesfully implemented and closed
384,CH0001184,,2024-06-29 15:00:01,Endpoints,Configuration changes,34,Normal,Medium,Systems,Server,Endpoints,Yes,4 out of 5,No,No,34,implemented and closed,Change is succesfully implemented and closed
385,CH0001185,,2024-05-01 14:07:55,Active Directory services,Configuration changes,34,Normal,Medium,Systems,Server,Active Directory services,Yes,4 out of 5,No,No,26,implemented and closed,Change is succesfully implemented and closed
386,CH0001186,,2024-06-28 08:22:08,"Direct Connect, Route 53",Access permissions,61,Normal,Medium,Systems,Server,Direct Connect,Yes,3 out of 5,No,No,68,implemented and closed,Change is succesfully implemented and closed
387,CH0001187,,2024-04-01 12:03:20,Middleware Application 01,App upgradation,114,Normal,Major,Systems,Server,Middleware Application 01,Yes,3 out of 5,Yes,Yes,119,implemented and closed,Change is succesfully implemented and closed
388,CH0001188,,2024-10-07 08:28:45,Cloud HSM,Version upgrade,39,Normal,Major,Systems,Server,Cloud HSM,Yes,3 out of 5,Yes,Yes,42,implemented and closed,Change is succesfully implemented and closed
389,CH0001189,,2024-12-05 09:13:22,IAM Role,Access permissions,36,Normal,Medium,Systems,Server,IAM Role,Yes,4 out of 5,No,No,46,Rolled back,post implementation checks failed
390,CH0001190,,2024-05-20 20:39:04,Endpoints,Add New requirements / Features,63,Normal,Major,Systems,Server,Endpoints,Yes,4 out of 5,Yes,Yes,72,implemented and closed,Change is succesfully implemented and closed
391,CH0001191,,2024-08-10 23:27:31,IAM Role,Add New requirements / Features,60,Normal,Major,Systems,Server,IAM Role,Yes,5 out of 5,Yes,Yes,50,implemented and closed,Change is succesfully implemented and closed
392,CH0001192,,2024-04-11 03:52:18,Endpoints,Add New requirements / Features,62,Normal,Major,Systems,Server,Endpoints,Yes,4 out of 5,Yes,Yes,61,implemented and closed,Change is succesfully implemented and closed
393,CH0001193,,2024-05-23 12:40:49,Role,Version upgrade,33,Normal,Major,Systems,Server,Role,Yes,3 out of 5,Yes,Yes,23,implemented and closed,Change is succesfully implemented and closed
394,CH0001194,,2024-06-21 06:52:27,Direct Connect,Configuration changes,83,Normal,Medium,Systems,Server,Direct Connect,Yes,3 out of 5,No,No,84,implemented and closed,Change is succesfully implemented and closed
395,CH0001195,,2024-09-16 01:59:10,IAM Role,Add New requirements / Features,74,Normal,Major,Systems,Server,IAM Role,Yes,1 out of 5,Yes,Yes,72,failed / Cancelled,"on time preps are incomplete, no approvals"
396,CH0001196,,2024-05-17 06:45:13,Cloud HSM,Configuration changes,37,Normal,Medium,Systems,Server,Cloud HSM,Yes,4 out of 5,No,No,37,implemented and closed,Change is succesfully implemented and closed
397,CH0001197,,2024-07-26 19:52:42,Application Load Balancer,Version upgrade,34,Normal,Major,Systems,Server,Application Load Balancer,Yes,3 out of 5,Yes,Yes,29,implemented and closed,Change is succesfully implemented and closed
398,CH0001198,,2024-04-21 17:15:24,IAM Role,Version upgrade,39,Normal,Major,Systems,Server,IAM Role,Yes,3 out of 5,Yes,Yes,29,Rolled back,post implementation checks failed
399,CH0001199,,2024-12-23 14:48:05,Database Server 02,Access permissions,65,Normal,Medium,Systems,Server,Database Server 02,Yes,4 out of 5,No,No,74,Rolled back,post implementation checks failed
